objectid,X,Y,name,place_address
1,16.6042209996498,49.1954380002571,ART IS HERE: Moderní umění,"Husova 18, 662 26 Brno"
2,16.6042209996498,49.1954380002571,ART IS HERE: Nové umění,"Husova 18, 662 26 Brno"
3,16.60883810036,49.193116099747,Šifrovací hra: Tajemství Staré radnice,"Radnická 8, Brno-Brno-střed, Česko"
4,16.608856699978002,49.193117700071,Šifrovací hra: Tmavomodré dobrodružství,"radnická 8, brno"
5,16.622583400388802,49.1996800997494,KÁZNICE ŽIJE,"Bratislavská 68, Zábrdovice, Brno, Česko"
6,16.623380400081903,49.2005854998787,Lavutara: Cestami romských muzikantů a jejich písní,"Bratislavská 246/67, Zábrdovice, Brno, Česko"
7,16.6042211002611,49.195438199848006,Výstava Josef Hoffmann – Otto Prutscher,"Husova 18, Brno-město, Brno, Česko"
8,16.6131469450788,49.1945529197099,BrainFAQ Brno &#8211; únikové hry,"Orlí 542/27, 602 00 Brno - střed"
9,16.5814431996264,49.228157399946205,V těžkých dobách: Boje o hranice 1918–1919,"Purkyňova 2950/105, Brno-Brno-Královo Pole, Česko"
10,16.5814431996264,49.228157399946205,Retrogaming,"Purkyňova 2950/105, Brno-Brno-Královo Pole, Česko"
11,16.5814431996264,49.228157399946205,Železná opona,"Purkyňova 2950/105, Brno-Brno-Královo Pole, Česko"
12,16.6090933997672,49.191852100065006,Ondřej Sekora: Mravenčí a jiné práce,"Zelný trh 6, Brno-město, Brno, Česko"
13,16.608123000071398,49.1950509997518,NONSTOP MĚSÍC AUTORSKÉHO ČTENÍ,
14,16.6080981382976,49.1923420658348,Co víš o architektuře? (online soutěž),"Zelný trh 12, 60200 Brno"
15,16.5838819998587,49.204160199910895,Staň se astronomem,"Kraví hora 522/2, Veveří, 616 00 Brno, Česko"
16,16.6068371003697,49.195060199786205,Heraldická procházka Brnem (online),Brno
17,16.59903824328,49.194402365422604,Historie Velkého Brna (online),"Špilberk 1, 602 00 Brno-střed, Česko"
18,16.608123000071398,49.1950509997518,Mapa historických sportovišť Brna (online),
19,16.608123000071398,49.1950509997518,Bombardování Brna v letech 1944–45 (online),
20,16.608123000071398,49.1950509997518,Rok 1968–1969 v Brně (online),
21,16.59903824328,49.194402365422604,Chrám kamene / Lapidárium ve vodojemech na Špilberku,"Špilberk 1, 602 00 Brno-střed, Česko"
22,16.6250181195747,49.2282480380369,Lanové centrum PROUD Brno na Lesné zahajuje novou sezónu,"Milénova 882/16, 638 00 Brno-sever-Lesná, Česko"
23,16.6042211002611,49.195438199848006,BEER IS HERE,"Husova 18, Brno-město, Brno, Česko"
24,16.5810115995566,49.1839923000371,3D Dinosauři,"Křížkovského 554/12, Staré Brno, 603 00 Brno, Česko"
25,16.7440652846808,49.318660321909796,ARBORETUM KŘTINY – cesta kolem světa za…pár hodin,"Arboretum Křtiny, Křtiny 68, 679 05 Křtiny, Česko"
26,16.606724722026,49.2065341665131,Ulovte si svůj kroužek v Lužánkách 2020/2021,"Lidická 50, Brno-střed, 602 00"
27,16.6023244997782,49.201568899749496,Dalibor Chatrný: Práce s fotografií,"Smetanova 14, Veveří, Brno, Česko"
28,16.5760570997105,49.2065672001776,Výstava Eva Eisler &#8211; Peter Demek. House Sitters,"Jana Nečase 2, Brno, Česko"
29,16.5993465001697,49.19484619992121,Evropan Adolf Loos. Nejen brněnské stopy.,"Špilberk 210/1, Brno-Brno-střed, Česko"
30,16.6101111586447,49.2049909448018,Židle pro Brno,"Lužánecká 1883/3, 602 00 Brno-střed, Česko"
31,16.6077353240257,49.19207684514279,Art.Slastná vernisáž 2.0,"Zelný trh 10, 602 00 Brno-střed"
32,16.5814431996264,49.228157399946205,100 let 43. pěšího pluku v Brně,"Purkyňova 2950/105, Brno-Brno-Královo Pole, Česko"
33,16.5814431996264,49.228157399946205,Mezinárodní bienále studentského designu DESIGN.S 2020 (online),"Purkyňova 2950/105, Brno-Brno-Královo Pole, Česko"
34,16.528346199650198,49.232974299858505,Kukuřičné bludiště Brno &#8211; Kníničky,Kukuřičné bludiště Brno
35,16.608123000071398,49.1950509997518,Brněnský festival zmrzliny: Putování za zmrzlinou,
36,16.5965330602432,49.204094449806995,Sochy mezi květy,"Veveří 496/69, 602 00 Brno-střed-Veveří, Česko"
37,16.6080987455587,49.1950392155807,Vyhlídkové jízdy Brnem,"nám. Svobody 19, 602 00 Brno-střed, Česko"
38,16.6096163998239,49.191727000220006,Leonardovy stroje,"Kapucínské náměstí, Brno-město, Brno, Česko"
39,16.5670604999878,49.192022400079004,Čas rytířů dalekých moří. Sběratel a mecenáš Jindřich Vávra,Pisárecká 5
40,16.6873159314905,49.227668167973796,Areál lesní pedagogiky DOUBRAVKA -programy lesní pedagogiky,Kanice ev. č. 152; 664 01 Kanice; Jihomoravský kraj
41,16.6073642030323,49.198737374976595,Zbrusu nové brněnské pověsti,"Moravské nám. 1/1, Brno-město, 602 00 Brno-Brno-střed, Česko"
42,16.5937432001945,49.208602600041104,Milan Kundera (neztracen) v překladech,"Kounicova 65a, Veveří, Brno, Česko"
43,16.6084685002145,49.1933497999158,Come Over When You’re Sober,"Radnická 4, Brno-město, Brno, Česko"
44,16.5814431996264,49.228157399946205,Jsme tu s vámi již 20 let,"Purkyňova 2950/105, Brno-Brno-Královo Pole, Česko"
45,16.5333971004044,49.230115599874296,Výstava Věda a výzkum Mendelovy univerzity v Brně,"U Zoologické zahrady 46, 635 00 Brno, Česko"
46,16.608123000071398,49.1950509997518,Tematické prohlídky,
47,16.608123000071398,49.1950509997518,Brněnský varhanní festival,
48,16.6100494776223,49.204910430085704,Lucie Holoušová &#8211; Stíny ztraceného světa,"Lužánecká 3, Brno"
49,16.6079503995693,49.1928315999571,zaměřeno na &#8230; bydlení,"Mečová 5, Brno-střed-Brno-město, Česko"
50,16.6090933997672,49.191852100065006,Do Brna široká cesta. Kramářské písně se světskou tematikou,"Zelný trh 6, Brno-město, Brno, Česko"
51,16.6119908645121,49.195162304085905,"Kam kráčíš, Brno? 2020","Pohořelec 461/2, 602 00 Brno-střed-Brno-město, Česko"
52,16.614646200050302,49.196337600201204,"Josef Dabernig, Ann Veronica Janssens, Žilvinas Kempinas, Karin Sander, Bill Viola, Martin Vongrej, Heimo Zobernig: Umění snížené diference","Malinovského nám. 2, Brno-město, Brno, Česko"
53,16.608123000071398,49.1950509997518,Bonjour Brno,
54,16.6330184939355,49.138126373423006,30 LET Letecké amatérské asociace ČR v OC Olympia Brno,OC Olympia Brno U dálnice 777 Brno Modřice
55,16.5890342000341,49.18843430013,Rodinná výstava Skřítci a trpaslíci,"Veletržní 19, Staré Brno, Brno, Česko"
56,16.5937432001945,49.208602600041104,Nový památník v Letech,"Kounicova 65a, Veveří, Brno, Česko"
57,16.5937432001945,49.208602600041104,Oči Brna: Kateřina Šimáčková,"Kounicova 65a, Veveří, Brno, Česko"
58,16.6084685002145,49.1933497999158,"O stromech, medúze a břichabolu","Radnická 4, Brno-město, Brno, Česko"
59,16.6084685002145,49.1933497999158,Jádra &#038; Tvary: Galerie pana Šťovíčka,"Radnická 4, Brno-město, Brno, Česko"
60,16.6069000004059,49.1934000002777,Retrospektiva &#8211; vernisáž obrazů Oty Janečka,Dominikánská ulice 3
61,16.614646200050302,49.196337600201204,"Burian – Křivinka, Petr Pelčák, Rusín &#038; Wahla: Stavby a projekty 2009 – 2019","Malinovského nám. 2, Brno-město, Brno, Česko"
62,16.6068371003697,49.195060199786205,Brněnské dny pro zdraví,brno
63,16.6080987455587,49.1950392155807,Slavnosti vína Brno,"nám. Svobody 19, 602 00 Brno-střed, Česko"
64,16.622583400388802,49.1996800997494,Advokáti proti totalitě,"Bratislavská 68, Zábrdovice, Brno, Česko"
65,16.620037961149098,49.18899230573071,Zimní semestr Balladine 2020/2021,"Řeznická 2, Brno, 60200"
66,16.5937432001945,49.208602600041104,České vědkyně,"Kounicova 65a, Veveří, Brno, Česko"
67,16.616065200432697,49.2071644997234,Re.storation.2010.2012,Černopolní 45 613 00 Brno
68,16.608123000071398,49.1950509997518,Serial Killer Festival,
69,16.622583400388802,49.1996800997494,Sejdeme se pod platany: oficiální otevření centra,"Bratislavská 68, Brno"
70,16.6036449001767,49.2042786002359,Předpremiéra filmu Nebe s Tomášem Etzlerem,Cihlářská 643/19
71,16.608259599690097,49.201543000172606,Antonius a Kleopatra,"Lidická 1863/16, Černá Pole, 602 00 Brno, Česko"
72,16.6036449001767,49.2042786002359,Herní Degustace -&gt; UFO: Afterlight,Cihlářská 643/19
73,16.6036449001767,49.2042786002359,Šarlatán,Cihlářská 643/19
74,16.614646200050302,49.196337600201204,Mies van der Rohe,"Malinovského nám. 2, Brno-město, Brno, Česko"
75,16.6036449001767,49.2042786002359,Než skončí léto,Cihlářská 643/19
76,16.60883810036,49.193116099747,Brněnsko tančí a zpívá,"Radnická 8, Brno-Brno-střed, Česko"
77,16.6036449001767,49.2042786002359,Rytmus: Tempos,Cihlářská 643/19
78,16.6006735139653,49.2010288486508,Fotografujeme noční město – workshop,"Smetanova 3, Brno, 602 00"
79,16.6106653068856,49.19146767461329,Vyrob si lapač (svých) snů,"Masarykova 32, 602 00 Brno"
80,16.6175242719649,49.198936602833,Jeden svět Brno a dokument Vylidněno,"Bratislavská 26, 602 00"
81,16.5930574999685,49.2274928997419,Jaroslav Samson Lenk,"Palackého tř. 832, Brno-Brno-Královo Pole, Česko"
82,16.606640425018,49.1923191742636,Od stresu ke štěstí – snadno a lehce – meditací,"Starobrněnská 13, Brno-střed"
83,16.608123000071398,49.1950509997518,Brněnský varhanní festival: S dětmi světem hudby,
84,16.6036449001767,49.2042786002359,V síti,Cihlářská 643/19
85,16.6089086001435,49.197552399790105,Cyrano z Bergeracu | NT Live | záznam,"Moravské nám. 127/3, Brno-město, Brno, Česko"
86,16.6089086001435,49.197552399790105,Tenet,"Moravské nám. 127/3, Brno-město, Brno, Česko"
87,16.6087271000319,49.192579000283295,Oktoberfest na Zelňáku,"Zelný trh, Brno-město, Brno, Česko"
88,16.5806651112667,49.1864823068979,Body Worlds,"Výstaviště 405/1, Pisárky, 64700 Brno-Brno-střed, Česko"
89,16.5977672996295,49.208073599862296,Vinnetou,"Tučkova 922/34, Veveří, 602 00 Brno, Česko"
90,16.6036449001767,49.2042786002359,Disco,Cihlářská 643/19
91,16.6036449001767,49.2042786002359,Naděje,Cihlářská 643/19
92,16.6085108836279,49.206994478969605,Nejtek / Wróblewski / Klápště,park Lužánky
93,16.6025319728796,49.197336103760605,MAOK &#8211; koncert &#8222;Hudba vnitřních světů&#8220;,"Komenského náměstí 218/4, 602 00 Brno"
94,16.5810115995566,49.1839923000371,"VIDA! After Dark: Sex, drugs &#038; rock&#8217;n&#8217;roll","Křížkovského 554/12, Staré Brno, 603 00 Brno, Česko"
95,16.6041623998489,49.19624830011029,„Sen“ Operní pantomima,"Komenského nám. 534/8, 602 00 Brno-Brno-střed, Česko"
96,16.6036449001767,49.2042786002359,Provinční městečko E,Cihlářská 643/19
97,16.6036449001767,49.2042786002359,Corpus Christi,Cihlářská 643/19
98,16.6125059998185,49.195622700094006,WWW NEUROBEAT,"Sukova 4, Brno-město, Brno, Česko"
99,16.608123000071398,49.1950509997518,Rajlich 100 / 100 × 100: HOMMAGE À JAN RAJLICH,
100,16.6042211002611,49.195438199848006,Rafani,"Husova 18, Brno-město, Brno, Česko"
101,16.6042211002611,49.195438199848006,Rajlich 100 / Jan Rajlich – Art &#038; Design,"Husova 18, Brno-město, Brno, Česko"
102,16.6056118998318,49.19238619987121,SLAVNOSTI PIVA Františka Ondřeje Poupěte na Šilingrově náměstí,"Šilingrovo náměstí, Brno-město, Brno, Česko"
103,16.6074120994067,49.1910193285871,Tematické prohlídky: Brněnské pivovary,"Petrov 270/7, 602 00 Brno-střed-Brno-město, Česko"
104,16.605801933040198,49.1865279187029,Mýty a fakta o očkování &#8211; MUDr. Eleková,"Nové Sady 37, Brno"
105,16.6073642030323,49.198737374976595,Tematické prohlídky: Kameny zmizelých,"Moravské nám. 1/1, Brno-město, 602 00 Brno-Brno-střed, Česko"
106,16.622583400388802,49.1996800997494,Feministická konference 2020,"Bratislavská 68, Zábrdovice, Brno, Česko"
107,16.6036449001767,49.2042786002359,V síti: Za školou,Cihlářská 643/19
108,16.606640425018,49.1923191742636,Večer s kytarou,"Starobrněnská 13, Brno-střed"
109,16.608259599690097,49.201543000172606,Pro nic za nic,"Lidická 1863/16, Černá Pole, 602 00 Brno, Česko"
110,16.609874816385,49.2046542977816,Přetlak a Hrozně.,Lužánecká
111,16.5930574999685,49.2274928997419,Katapult &#8211; Nostalgia tour,"Palackého tř. 832, Brno-Brno-Královo Pole, Česko"
112,16.594998514955698,49.188818474385,Trying company v baru u Kouřícího králíka,Křídlovická 1 60300 Brno
113,16.6094269999277,49.192119700187504,Idomeneus,"Zelný trh 313/4, Brno-město, Brno, Česko"
114,16.6036449001767,49.2042786002359,Parazit,Cihlářská 643/19
115,16.6036449001767,49.2042786002359,Žaluji!,Cihlářská 643/19
116,16.60883810036,49.193116099747,Tematické prohlídky: Život a smrt moravského aristokrata,"Radnická 8, Brno-Brno-střed, Česko"
117,16.607808267226698,49.1972907484639,Kurz olejomalby Bob Ross pro začátečníky,Brno - střed Moravské nám. 4
118,16.613695800446,49.1959064001515,Všelijaká koukátka,"Malinovského náměstí 1, Brno-město, Brno, Česko"
119,16.6961292865733,49.28330174928289,malé MEZiLESY,Babice nad Svitavou
120,16.6036449001767,49.2042786002359,Mafia v Artu,Cihlářská 643/19
121,16.6036449001767,49.2042786002359,Soutěž v závodě &#8211; Mafia: The City of Lost Heaven,Cihlářská 643/19
122,16.6036449001767,49.2042786002359,Mafia kvíz,Cihlářská 643/19
123,16.6036449001767,49.2042786002359,Soutěž v závodě &#8211; Mafia: Definitive Edition,Cihlářská 643/19
124,16.613695800446,49.1959064001515,"Edith, vrabčák z předměstí","Malinovského náměstí 1, Brno-město, Brno, Česko"
125,16.6036449001767,49.2042786002359,Představení Mafia: Definitive Edition,Cihlářská 643/19
126,16.6020530001533,49.1854489001089,HANA ZAGOROVÁ &amp; ŠTEFAN MARGITA,"Křídlovická 911/34, Brno-střed-Staré Brno, Česko"
127,16.608123000071398,49.1950509997518,JazzFestBrno,
128,16.6036449001767,49.2042786002359,Máša a medvěd: Mášiny písničky,Cihlářská 643/19
129,16.6036449001767,49.2042786002359,Mlsné medvědí příběhy,Cihlářská 643/19
130,16.6036449001767,49.2042786002359,Princezna zakletá v čase,Cihlářská 643/19
131,16.613695800446,49.1959064001515,Lucerna,"Malinovského náměstí 1, Brno-město, Brno, Česko"
132,16.608123000071398,49.1950509997518,Janáček Brno 2020,
133,16.6089086001435,49.197552399790105,Beseda s generálem Petrem Pavlem: Strážce republiky,"Moravské nám. 127/3, Brno-město, Brno, Česko"
134,16.611048200300697,49.198234900215304,"Leoš Janáček &#8211; Osud, Slavnostní zahájení festivalu","Rooseveltova 31/7, Brno-město, 602 00 Brno, Česko"
135,16.608259599690097,49.201543000172606,Ztracený ráj (zpráva o člověku),"Lidická 1863/16, Černá Pole, 602 00 Brno, Česko"
136,16.611048200300697,49.198234900215304,Osud,"Rooseveltova 31/7, Brno-město, 602 00 Brno, Česko"
137,16.6036449001767,49.2042786002359,Havel,Cihlářská 643/19
138,16.5937432001945,49.208602600041104,Komenský v obrazech,"Kounicova 65a, Veveří, Brno, Česko"
139,16.6036449001767,49.2042786002359,Příběh tantry,Cihlářská 643/19
140,16.6036449001767,49.2042786002359,Pravda,Cihlářská 643/19
141,16.616065200432697,49.2071644997234,Jan Kačer: Má pouť životem a uměním,Černopolní 45 613 00 Brno
142,16.6125059998185,49.195622700094006,HRUBÁ HUDBA (LESNÍ ZVĚŘ &#038; HORŇÁCKÁ MUZIKA PETRA MIČKY),"Sukova 4, Brno-město, Brno, Česko"
143,16.6085108836279,49.206994478969605,TALAQPO,park Lužánky
144,16.6036449001767,49.2042786002359,Kiruna – překrásný nový svět,Cihlářská 643/19
145,16.614646200050302,49.196337600201204,Veronika Vlková: Tiše poslouchej,"Malinovského nám. 2, Brno-město, Brno, Česko"
146,16.6080987455587,49.1950392155807,Podzimní slavnosti dobrého jídla,"nám. Svobody 19, 602 00 Brno-střed, Česko"
147,16.6036449001767,49.2042786002359,Palm Springs,Cihlářská 643/19
148,16.5853774998723,49.2104450000619,3Bobule,"Minská 19, Brno, Česko"
149,16.6110186996268,49.1963003002742,RESTART &#8211; Zahajovací průvod JAMU,"Mozartova 1, Brno"
150,16.622583400388802,49.1996800997494,Dialogy nového příběhu: Vlado Lobotka &#8211; Myslet změnu,"Bratislavská 68, Zábrdovice, Brno, Česko"
151,16.6175242719649,49.198936602833,Vegan fest,"Bratislavská 26, 602 00"
152,16.6094269999277,49.192119700187504,ARNOLD SCHOENBERG CHOR,"Zelný trh 313/4, Brno-město, Brno, Česko"
153,16.5930574999685,49.2274928997419,Mandarinková izba,"Palackého tř. 832, Brno-Brno-Královo Pole, Česko"
154,16.608123000071398,49.1950509997518,Brněnský varhanní festival: Narozeninový koncert,
155,16.6125059998185,49.195622700094006,Hm / Solárium,"Sukova 4, Brno-město, Brno, Česko"
156,16.608123000071398,49.1950509997518,Den architektury Brno,
157,16.60883810036,49.193116099747,Tematické prohlídky: Po stopách Ernsta Wiesnera,"Radnická 8, Brno-Brno-střed, Česko"
158,16.6175242719649,49.198936602833,Info meet-up,Bratislavská 26/210 Brno
159,16.6036449001767,49.2042786002359,Helmut Newton: Nestoudná krása,Cihlářská 643/19
160,16.6036449001767,49.2042786002359,Ronnie Wood: Někdo tam nahoře mě má rád,Cihlářská 643/19
161,16.6094269999277,49.192119700187504,ZÁPISNÍK ZMIZELÉHO &#038; KLAVÍRNÍ RECITÁL JANA JIRASKÉHO,"Zelný trh 313/4, Brno-město, Brno, Česko"
162,16.6146402855425,49.18778381238871,Barma / Myanmar: Pekelný ráj (Brno),"Ve Vaňkovce 1, 602 00 Brno"
163,16.6036449001767,49.2042786002359,Svět podle Muchy,Cihlářská 643/19
164,16.6036449001767,49.2042786002359,Léto 85,Cihlářská 643/19
165,16.6089086001435,49.197552399790105,Jeden svět Brno,"Moravské nám. 127/3, Brno-město, Brno, Česko"
166,16.6073642030323,49.198737374976595,Trhy kávy 2020 Brno,"Moravské nám. 1/1, Brno-město, 602 00 Brno-Brno-střed, Česko"
167,16.6036449001767,49.2042786002359,Climax,Cihlářská 643/19
168,16.6036449001767,49.2042786002359,Postiženi muzikou,Cihlářská 643/19
169,16.613695800446,49.1959064001515,LEOŠ JANÁČEK &#8211; PŘÍHODY LIŠKY BYSTROUŠKY,"Malinovského náměstí 1, Brno-město, Brno, Česko"
170,16.6087271000319,49.192579000283295,Meet Papír,"Zelný trh, Brno-město, Brno, Česko"
171,16.6001838997961,49.203573200004904,Minimalistický festival STAČÍ MÁLO,"Kounicova 686/22, Brno"
172,16.6023244997782,49.201568899749496,KLAVÍRNÍ RECITÁL JANA JIRASKÉHO,"Smetanova 14, Veveří, Brno, Česko"
173,16.6023244997782,49.201568899749496,KLAVÍRNÍ RECITÁL JANA JIRASKÉHO (REPRÍZA),"Smetanova 14, Veveří, Brno, Česko"
174,16.608123000071398,49.1950509997518,Mersey Gathering,
175,16.61358079992,49.206068099856395,Zemlinsky Quartet,"Drobného 297/22, Černá Pole, Brno, Česko"
176,16.5977672996295,49.208073599862296,Vinnetou,"Tučkova 922/34, Veveří, 602 00 Brno, Česko"
177,16.6934757234111,49.209186553668296,Škola kouzel Pavla Kožíška,"Dělňák, Klajdovská 28, Brno-Líšeň"
178,16.6036449001767,49.2042786002359,Autoportrét,Cihlářská 643/19
179,16.611048200300697,49.198234900215304,JEJÍ PASTORKYŇA JANÁČKOVA OPERA NdB &#038; KARITA MATTILA (PREMIÉRA),"Rooseveltova 31/7, Brno-město, 602 00 Brno, Česko"
180,16.611048200300697,49.198234900215304,Její pastorkyňa,"Rooseveltova 31/7, Brno-město, 602 00 Brno, Česko"
181,16.6036449001767,49.2042786002359,Skutok sa stal,Cihlářská 643/19
182,16.6100494776223,49.204910430085704,Jan Kratochvíla &#8211; Geošpirit,"Lužánecká 3, Brno"
